Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,06/03/2024,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3000.00,
DEBIT,06/25/2024,CHASE CREDIT CRD EPAY,-668.71,ACH_DEBIT,2331.29,
DEBIT,06/25/2024,DISCOVER E-PAYMENT,-388.38,ACH_DEBIT,1942.91,
CREDIT,07/03/2024,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,2942.91,
DEBIT,07/25/2024,CHASE CREDIT CRD EPAY,-616.56,ACH_DEBIT,2326.35,
DEBIT,07/25/2024,DISCOVER E-PAYMENT,-400.49,ACH_DEBIT,1925.86,
CREDIT,08/03/2024,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,2925.86,
DEBIT,08/25/2024,CHASE CREDIT CRD EPAY,-468.54,ACH_DEBIT,2457.32,
DEBIT,08/25/2024,DISCOVER E-PAYMENT,-531.77,ACH_DEBIT,1925.55,
CREDIT,09/03/2024,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,2925.55,
DEBIT,09/25/2024,CHASE CREDIT CRD EPAY,-468.89,ACH_DEBIT,2456.66,
DEBIT,09/25/2024,DISCOVER E-PAYMENT,-501.00,ACH_DEBIT,1955.66,
CREDIT,10/03/2024,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,2955.66,
DEBIT,10/25/2024,CHASE CREDIT CRD EPAY,-752.60,ACH_DEBIT,2203.06,
DEBIT,10/25/2024,DISCOVER E-PAYMENT,-332.87,ACH_DEBIT,1870.19,
CREDIT,11/03/2024,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,2870.19,
DEBIT,11/25/2024,CHASE CREDIT CRD EPAY,-443.91,ACH_DEBIT,2426.28,
DEBIT,11/25/2024,DISCOVER E-PAYMENT,-645.38,ACH_DEBIT,1780.90,
CREDIT,12/03/2024,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,2780.90,
DEBIT,12/25/2024,CHASE CREDIT CRD EPAY,-474.28,ACH_DEBIT,2306.62,
DEBIT,12/25/2024,DISCOVER E-PAYMENT,-378.88,ACH_DEBIT,1927.74,
CREDIT,01/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,2927.74,
DEBIT,01/25/2025,CHASE CREDIT CRD EPAY,-378.76,ACH_DEBIT,2548.98,
DEBIT,01/25/2025,DISCOVER E-PAYMENT,-498.35,ACH_DEBIT,2050.63,
CREDIT,02/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3050.63,
DEBIT,02/25/2025,CHASE CREDIT CRD EPAY,-474.87,ACH_DEBIT,2575.76,
DEBIT,02/25/2025,DISCOVER E-PAYMENT,-569.91,ACH_DEBIT,2005.85,
CREDIT,03/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3005.85,
DEBIT,03/25/2025,CHASE CREDIT CRD EPAY,-443.76,ACH_DEBIT,2562.09,
DEBIT,03/25/2025,DISCOVER E-PAYMENT,-508.23,ACH_DEBIT,2053.86,
CREDIT,04/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3053.86,
DEBIT,04/25/2025,CHASE CREDIT CRD EPAY,-386.75,ACH_DEBIT,2667.11,
DEBIT,04/25/2025,DISCOVER E-PAYMENT,-429.35,ACH_DEBIT,2237.76,
CREDIT,05/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3237.76,
DEBIT,05/25/2025,CHASE CREDIT CRD EPAY,-420.82,ACH_DEBIT,2816.94,
DEBIT,05/25/2025,DISCOVER E-PAYMENT,-510.86,ACH_DEBIT,2306.08,
CREDIT,06/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3306.08,
DEBIT,06/25/2025,CHASE CREDIT CRD EPAY,-296.34,ACH_DEBIT,3009.74,
DEBIT,06/25/2025,DISCOVER E-PAYMENT,-243.78,ACH_DEBIT,2765.96,
CREDIT,07/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3765.96,
DEBIT,07/25/2025,CHASE CREDIT CRD EPAY,-648.39,ACH_DEBIT,3117.57,
DEBIT,07/25/2025,DISCOVER E-PAYMENT,-435.80,ACH_DEBIT,2681.77,
CREDIT,08/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3681.77,
DEBIT,08/25/2025,CHASE CREDIT CRD EPAY,-591.52,ACH_DEBIT,3090.25,
DEBIT,08/25/2025,DISCOVER E-PAYMENT,-698.49,ACH_DEBIT,2391.76,
CREDIT,09/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3391.76,
DEBIT,09/25/2025,CHASE CREDIT CRD EPAY,-430.07,ACH_DEBIT,2961.69,
DEBIT,09/25/2025,DISCOVER E-PAYMENT,-439.24,ACH_DEBIT,2522.45,
CREDIT,10/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3522.45,
DEBIT,10/25/2025,CHASE CREDIT CRD EPAY,-350.24,ACH_DEBIT,3172.21,
DEBIT,10/25/2025,DISCOVER E-PAYMENT,-466.86,ACH_DEBIT,2705.35,
CREDIT,11/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3705.35,
DEBIT,11/25/2025,CHASE CREDIT CRD EPAY,-321.65,ACH_DEBIT,3383.70,
DEBIT,11/25/2025,DISCOVER E-PAYMENT,-643.34,ACH_DEBIT,2740.36,
CREDIT,12/03/2025,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3740.36,
DEBIT,12/25/2025,CHASE CREDIT CRD EPAY,-543.96,ACH_DEBIT,3196.40,
DEBIT,12/25/2025,DISCOVER E-PAYMENT,-536.10,ACH_DEBIT,2660.30,
CREDIT,01/03/2026,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3660.30,
DEBIT,01/25/2026,CHASE CREDIT CRD EPAY,-297.83,ACH_DEBIT,3362.47,
DEBIT,01/25/2026,DISCOVER E-PAYMENT,-377.67,ACH_DEBIT,2984.80,
CREDIT,02/03/2026,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,3984.80,
DEBIT,02/25/2026,CHASE CREDIT CRD EPAY,-415.43,ACH_DEBIT,3569.37,
DEBIT,02/25/2026,DISCOVER E-PAYMENT,-404.42,ACH_DEBIT,3164.95,
CREDIT,03/03/2026,CONSULTING DEPOSIT,1000.00,ACH_CREDIT,4164.95,
DEBIT,03/25/2026,CHASE CREDIT CRD EPAY,-409.61,ACH_DEBIT,3755.34,
DEBIT,03/25/2026,DISCOVER E-PAYMENT,-447.00,ACH_DEBIT,3308.34,
